Name,Tag,Clan,Total Wars,Last War Date,Duration
DonkeyKong,#VY8YCC9P,Dark Matter,3,1/14/2022,2d
morfowt,#2PLJPGR0Q,Dark Matter,8,1/14/2022,2d
Revolt,#289YCRGU2,Dark Matter,10,1/14/2022,2d
sqwaddles,#82CLLGUGR,Dark Matter,9,1/14/2022,2d
DonkeyKongJr,#9LVR9Q9UV,Dark Matter,11,1/14/2022,2d
ZekeTheFreak,#RVYY9Q8P,Dark Matter,6,1/12/2022,4d
Tricky,#RGVCJJUY,Dark Matter,1,1/12/2022,4d
Boom,#8PCGPU8Q,Dark Matter,2,1/12/2022,4d
Tøxïç Šūrgë,#R9YRCQC8,Dark Matter,4,12/31/2021,15d
LeeJ,#UJL9YQLY,Dark Matter,5,12/31/2021,15d
Hut?,#PYVJR2U89,Dark Matter,2,12/29/2021,17d
Hut,#2J0GYGJJQ,Dark Matter,1,12/24/2021,22d
Artorias,#YUUYG8VQ,Dark Matter,4,12/24/2021,22d
HomeSlicedToast,#G099YGUG,Dark Matter,3,12/18/2021,29d
"Drew, And",#GL9JRQR2,Dark Matter,2,12/16/2021,31d
Blue,#JCYYY9VY,Dark Matter,3,12/16/2021,31d
Dry Dream,#LVY9R20CR,Dark Matter,1,12/12/2021,35d
Pixalite,#29Q8Y200G,Sheer Force,6,1/14/2022,1d
littlesonshine,#RCV08YPR,Sheer Force,10,1/14/2022,1d
Reckless❤️,#YQ0JVC9,Sheer Force,9,1/14/2022,1d
Beta,#20R8UV8RL,Sheer Force,8,1/14/2022,1d
o0o_Jerson_o0o,#PL9VLC9RP,Sheer Force,3,1/14/2022,1d
Drews A God,#QU0RGRYG,Sheer Force,5,1/14/2022,1d
Ershad2,#9PVQ9RJJG,Sheer Force,3,1/14/2022,1d
BedwarsOP,#Q9QV9J2L8,Sheer Force,1,1/14/2022,1d
Right Pix,#9PJG98QCR,Sheer Force,9,1/14/2022,1d
Darth Windu,#QQ0GG2VG8,Sheer Force,10,1/14/2022,1d
JAYBOSSX32,#L99PJYV98,Sheer Force,1,1/14/2022,1d
Big Spoon,#UVQ280P,Sheer Force,3,1/14/2022,1d
Wet Nightmare,#LQ0PGV0LJ,Sheer Force,10,1/14/2022,1d
Blue,#JCYYY9VY,Sheer Force,4,1/14/2022,1d
AllTheMemes,#LQR99PCQQ,Sheer Force,2,1/14/2022,1d
Warlords Outcry,#VG0PV298,Sheer Force,3,1/14/2022,1d
Alex The Great,#Q9P9JCVRV,Sheer Force,3,1/14/2022,1d
"Drew, And",#GL9JRQR2,Sheer Force,8,1/14/2022,1d
SkyNet,#292LQVGP8,Sheer Force,1,1/14/2022,1d
verbatxm,#20R9QGCJC,Sheer Force,4,1/14/2022,1d
Mini Dang,#QQP99P2PL,Sheer Force,9,1/14/2022,1d
SID,#9YLC2L90U,Sheer Force,1,1/14/2022,1d
EvanOakenShield,#Y098GJQ0,Sheer Force,8,1/14/2022,1d
xX T Xx,#QG9CGPJVC,Sheer Force,2,1/14/2022,1d
yazan7,#9CP8CP99,Sheer Force,8,1/14/2022,1d
Kchlangenddin,#QR929R990,Sheer Force,2,1/14/2022,1d
iam5ick,#QY0PL2QCL,Sheer Force,9,1/14/2022,1d
* Rav 94 *,#LPGVYUGR,Sheer Force,4,1/14/2022,1d
luca,#L09J8JPY0,Sheer Force,5,1/14/2022,1d
ChewDon,#9GRLJC9UJ,Sheer Force,2,1/12/2022,3d
You,#LUGV8UP2C,Sheer Force,2,1/12/2022,3d
t_RAVIS987,#LVJL9UQCG,Sheer Force,1,1/12/2022,3d
Pork_Adobo,#QU29PUQ8,Sheer Force,1,1/12/2022,3d
divit,#Y9CG9QCLQ,Sheer Force,5,12/30/2021,17d
Matt,#2208RQJRJ,Sheer Force,4,12/30/2021,17d
Rith ⭐,#YCVCQ0YQY,Sheer Force,3,12/30/2021,17d
Envy,#2UQC92UUY,Sheer Force,5,12/30/2021,17d
Pixal,#990LG8Q9R,Sheer Force,8,12/30/2021,17d
Kismet_27,#Q0L0VY0PQ,Sheer Force,3,12/30/2021,17d
Lalo,#GC0CG8L0,Sheer Force,6,12/28/2021,19d
Dry Dream,#LVY9R20CR,Sheer Force,7,12/28/2021,19d
snotrocket,#Q0J80JVCL,Sheer Force,2,12/28/2021,19d
ArmedSnowman,#290G0JG9U,Sheer Force,8,12/28/2021,19d
koo1aid 22,#Y2RU9C00P,Sheer Force,6,12/28/2021,19d
Joker,#QYURRY80Q,Sheer Force,4,12/26/2021,21d
-l B A T A l-,#PG8V8CLVJ,Sheer Force,1,12/26/2021,21d
TMG,#QY0LUG22J,Sheer Force,1,12/21/2021,25d
christopherta,#QY2UVQV9U,Sheer Force,4,12/21/2021,25d
MiniPix,#LLURGGVP0,Sheer Force,3,12/19/2021,27d
STEM enjoyer,#QPLPJRJQP,Sheer Force,2,12/17/2021,29d
Wrath,#L9G0G0V8Y,Sheer Force,3,12/17/2021,29d
ALEX 19 91,#LRQLUUGL,Sheer Force,1,11/30/2021,46d
Zeakobeastly,#29J0RGPUJ,Sheer Force,1,11/30/2021,46d
Tøxïç Šūrgë,#R9YRCQC8,Sheer Force,1,11/30/2021,46d
DangerDan,#QPVQU9CQ8,Sheer Force,1,11/30/2021,46d
Kociarz,#L8YRUQVPQ,SN JAIN,0,,
LeGend NiAzii❤,#2RLGUU9RY,Brute Force,0,,
Darth Poe,#QQQJU0UL0,Brute Force,0,,
clan warrior 17,#C80C8UUC,PBfPN,0,,
mini-Notorious,#J909RC9P,PBfPN,0,,
Zedsaz,#VU0QPY8,PBfPN,0,,
Bella,#2JRQ2LGLC,PBfPN,0,,
Shilkins,#2P89QVU8,PBfPN,0,,
Tacos,#YRPQYYGCJ,PBfPN,0,,
SyZyGy,#L2VVUJ8JC,PBfPN,0,,
Darth Leia,#LUCYLPLLG,PBfPN,0,,
Darth Finn,#QYVP2L80J,Wookies,0,,
FairyGodMother,#LY9VJYYG9,Mini Matter,0,,
mini string,#PUYCRJC,Mini Matter,0,,
King Rog,#82JVRL8R,Mini Matter,0,,
Eric,#2LPCUCLYR,Mini Matter,0,,
blakeON,#QQRJUYYJ2,Mini Matter,0,,
namer,#QGGJCV0YJ,Mini Matter,0,,
5U,#QLYU0V8VY,Mini Matter,0,,
brav0,#QGJVGULGP,Mini Matter,0,,
Joker,#QLR9G08Q9,Mini Matter,0,,
Blanc,#LYQC08J8Y,Mini Matter,0,,
Terminator,#QGR0QGVVG,Mini Matter,0,,
DeaD,#QGPP8RV2Q,Mini Matter,0,,
wolf.zen,#QGYLCPLGJ,Mini Matter,0,,
haidara,#LUGVVCYLV,Mini Matter,0,,
☠️MR.☠️OM☠️1137,#QPV202RYL,Mini Matter,0,,
Antonio Ferrari,#Q2P9889LU,Mini Matter,0,,
CalDon,#PPCJCJ9J9,Mini Matter,0,,
laro,#Q82C8C2L0,Mini Matter,0,,
jaycee,#QGGV8G9JL,Mini Matter,0,,
hi,#Q2PJGQGGP,Mini Matter,0,,
F.I.N.E.,#99Q0PLVPC,Endor,0,,
S.T.A.R.,#LR0LJQ9C9,Endor,0,,
C.R.E.A.T.E.,#YVJLYPRVG,Endor,0,,
Darth Lando,#LGVP9PP8C,Endor,0,,
AxeDon,#P8UGUPGGJ,Mos Eisley,0,,
Darth Yoda,#LCVUGVYLU,Killer_Black_Wf,0,,
Joyel!!,#9C2QLPYLC,Golden Clan,0,,
OneStarVet,#Q0PPGVGJ8,Golden Clan,0,,
Alex The Wise,#Q9GL90U28,Golden Clan,0,,
Darth Grogu,#QYVPPQQYQ,Golden Clan,0,,
tomaetuhs,#LCGRVQ92,Optimus Prime*,0,,
Yak,#Q8CUU8GRY,ONE KINGS,0,,
Mori,#8V09P8PPQ,ONE KINGS,0,,
Super Mouse,#Q0PVQ20GV,ONE KINGS,0,,
Mighty Mouse,#QL8UR2228,ONE KINGS,0,,
Minnie Mouse,#Q8R0J0RY0,ONE KINGS,0,,
Mickey Mouse,#QLRPP20GJ,ONE KINGS,0,,
Scrappy Mouse,#QYJ8PLUJL,ONE KINGS,0,,
Darth Turtle,#LGRJYJGQ9,ONE KINGS,0,,
Pegasus,#PJ2LUV88R,ONE KINGS,0,,
Aldrich,#QGRLY2PJU,ONE KINGS,0,,
VILLAGE BICYCLE,#222VPJPU,Legendary Monks,0,,
Strider,#9PP22PVPR,Legendary Monks,0,,
Gutti Guy 2,#Y9LCJP8LQ,Legendary Monks,0,,
⚔️FC Warrior⚔️,#LVJ0LPCU9,Legendary Monks,0,,
Chewi ⭐⭐⭐⭐⭐,#P08LRYVYJ,Legendary Monks,0,,
Darth Ackbar,#LU0Q9GG99,Legendary Monks,0,,
Phil R Monic,#QQPJLJYRJ,PETARUNG SEJATI,0,,
Aid2,#8LY0RYJ28,Dark Matter,0,,
McNuggets,#VRJ9VG0R,Dark Matter,0,,
StringFire,#92RVQGR0C,Dark Matter,0,,
king drewbie,#Q2PYGPUC8,Dark Matter,0,,
joyel,#82RPPRU9J,Dark Matter,0,,
aid,#CVYC8LQV,Dark Matter,0,,
Big Mac,#9P9GR08Y,Dark Matter,0,,
Darth Greedo,#QQQUJPLQC,Dark Matter,0,,
Darth Porkins,#LUJ9LRJQ0,barudak sunda,0,,
Enflung,#L22ULUUQ,Sheer Force,0,,
ramzi,#2PY0U2YRJ,Sheer Force,0,,
Real Bad Donkey,#PYUUYP8L,Sheer Force,0,,
Hannibal Lecter,#QLP92PVVV,Sheer Force,0,,
ゲーワライ,#YPV0JUQYU,Sheer Force,0,,
Left Pix,#82GLJC8YQ,UnitedAsOne,0,,
