Name,Tag,Last War,Town Hall,Clan,Total Wars
Artorias,#YUUYG8VQ,9/26/2021,12,Dark Matter,9
Drago,#JGYQV8GL,9/26/2021,14,Dark Matter,3
Trap Master,#2JQGJ8LU9,9/20/2021,10,Dark Matter,7
Hut?,#P0CPCRLR,9/20/2021,14,Dark Matter,4
king drewbie,#Q2PYGPUC8,9/20/2021,13,Dark Matter,3
Joyel!!,#9C2QLPYLC,9/20/2021,10,Dark Matter,3
Noland™️,#2V0Y20RQU,9/20/2021,12,Dark Matter,3
morfowt,#2PLJPGR0Q,9/20/2021,12,Dark Matter,3
Lexpachi,#28JGQ9YPV,9/18/2021,13,Dark Matter,6
Aid2,#8LY0RYJ28,9/16/2021,14,Dark Matter,3
sqwaddles,#82CLLGUGR,9/16/2021,12,Dark Matter,6
Willy,#22Q8Y2CU9,9/14/2021,10,Dark Matter,1
Alex The Great,#Q9P9JCVRV,9/11/2021,6,Dark Matter,4
sillysilas,#Y9P0RUU0,9/11/2021,12,Dark Matter,1
HomeSlicedToast,#G099YGUG,8/30/2021,12,Dark Matter,2
Kiwi,#2C9LR9P2Q,8/28/2021,12,Dark Matter,2
Taran,#Y9VV0V8YV,9/25/2021,9,Sheer Force,2
morfovvt,#YR0QRUYCY,9/25/2021,11,Sheer Force,6
littlesonshine,#RCV08YPR,9/25/2021,12,Sheer Force,4
MiniPix,#LLURGGVP0,9/25/2021,5,Sheer Force,8
Aishlia,#Y0QJJL09,9/25/2021,10,Sheer Force,3
Beyond,#Q0PYP8U0V,9/25/2021,10,Sheer Force,1
Right Pix,#9PJG98QCR,9/25/2021,8,Sheer Force,7
__Neardhoy__,#GCVCUL8C,9/25/2021,9,Sheer Force,5
Lindberghh,#YG8UYCY02,9/25/2021,11,Sheer Force,4
TMG,#QY0LUG22J,9/25/2021,10,Sheer Force,4
DANG,#Y9R8VC00,9/25/2021,11,Sheer Force,9
STEM enjoyer,#QPLPJRJQP,9/25/2021,9,Sheer Force,3
OUTTVT1ME,#LGPV08RLJ,9/25/2021,10,Sheer Force,7
Kismet_27,#Q0L0VY0PQ,9/25/2021,9,Sheer Force,9
Wrath,#L9G0G0V8Y,9/25/2021,9,Sheer Force,7
SkyNet,#292LQVGP8,9/23/2021,10,Sheer Force,4
Destroyer,#P20CG0Q29,9/23/2021,12,Sheer Force,2
kllacam19k,#2QGLGU0LY,9/23/2021,10,Sheer Force,6
-_-Jambo-_-,#8PYQ0LCG,9/23/2021,11,Sheer Force,6
ml,#8Y0C08VU0,9/20/2021,10,Sheer Force,3
Blue,#JCYYY9VY,9/20/2021,11,Sheer Force,7
ZekeTheFreak,#RVYY9Q8P,9/20/2021,12,Sheer Force,3
f2,#LUPYQ0G9C,9/20/2021,9,Sheer Force,1
John,#2G0R9YRCR,9/16/2021,10,Sheer Force,1
Lindberghh II,#LUCC0GYPY,9/14/2021,10,Sheer Force,2
ChewDon,#9GRLJC9UJ,9/12/2021,9,Sheer Force,1
Pixalite,#29Q8Y200G,9/12/2021,9,Sheer Force,2
Lt. poggers,#QPLLY8QYL,8/31/2021,9,Sheer Force,1
spacerock12,#9C02URYL,8/31/2021,10,Sheer Force,2
Ivan the great,#P82C2VYL,8/28/2021,9,Sheer Force,1
Pixal,#990LG8Q9R,8/28/2021,11,Sheer Force,1
Lei,#QYVPLCC8J,,8,SN JAIN,0
Ryan,#QYQP9YCPY,,9,SN JAIN,0
AjmalHussainLa,#QYRGRV99J,,8,SN JAIN,0
w . l,#QYLCQ0R98,,7,SN JAIN,0
rushed base):,#QYR9RQP0Q,,7,SN JAIN,0
krain_22,#PRGJ2UQ0L,,6,SN JAIN,0
Kociarz,#L8YRUQVPQ,,6,SN JAIN,0
Kenna Rys,#Q9UUUVRYV,,4,SN JAIN,0
bryce10,#QYYV88C0L,,6,SN JAIN,0
xdfv,#LVGV8C2LV,,4,SN JAIN,0
胤禩,#QPGQJYUC2,,5,SN JAIN,0
M.O.N.S.T.E.R,#Q0PGUQGQQ,,4,SN JAIN,0
Gabe Alls,#QPC9UG0G2,,5,SN JAIN,0
Cody belenger,#QPUVJPRYP,,5,SN JAIN,0
pikachu,#QLPGV98U2,,4,SN JAIN,0
Daksh,#QPCLL8YUQ,,3,SN JAIN,0
me,#QL90GJPCU,,4,SN JAIN,0
毛猴头。,#LVU9UCG89,,3,SN JAIN,0
Chimmy,#LVRGVCPCU,,3,SN JAIN,0
LeGend NiAzii❤,#2RLGUU9RY,,12,Brute Force,0
ゲーワライ,#YPV0JUQYU,,7,Brute Force,0
Darth Poe,#QQQJU0UL0,,3,Brute Force,0
mini-Notorious,#J909RC9P,,11,PBfPN,0
clan warrior 17,#C80C8UUC,,11,PBfPN,0
Zedsaz,#VU0QPY8,,11,PBfPN,0
JimJam,#LUY90RY09,,10,PBfPN,0
Bella,#2JRQ2LGLC,,10,PBfPN,0
Shilkins,#2P89QVU8,,9,PBfPN,0
Tacos,#YRPQYYGCJ,,9,PBfPN,0
SyZyGy,#L2VVUJ8JC,,8,PBfPN,0
Darth Leia,#LUCYLPLLG,,3,PBfPN,0
Darth Finn,#QYVP2L80J,,3,Wookies,0
mini string,#PUYCRJC,,14,Mini Matter,0
shadow1402,#LQ9RYJUQC,,11,Mini Matter,0
наскел,#9QQYYR29,,12,Mini Matter,0
Baby Dream,#LCQYULLVR,,7,Mini Matter,0
BeefCap,#Q80VGGC9V,,4,Mini Matter,0
angie,#QLPLCJ9UU,,5,Mini Matter,0
NeckBoi,#QLLUCUPUG,,4,Mini Matter,0
Moonlight,#Q9PJ290JL,,5,Mini Matter,0
phil r doe,#LV9G8JQG2,,3,Mini Matter,0
Cao90,#QQPJU9QV8,,4,Mini Matter,0
phil r smith,#QLV0GYQGJ,,3,Mini Matter,0
Steve,#QGJP0LCGG,,3,Mini Matter,0
Baby Sapp,#Q89GYGU88,,3,Mini Matter,0
NightmAre,#QQ8RP22R0,,5,Mini Matter,0
toddy,#Q9LRLVL8U,,4,Mini Matter,0
phil r upper,#QR80LP2PL,,3,Mini Matter,0
C.R.E.A.T.E.,#YVJLYPRVG,,9,Endor,0
Darth Lando,#LGVP9PP8C,,3,Endor,0
Darth Turtle,#LGRJYJGQ9,,3,Mos Eisley,0
shanks,#9GU8C0QYJ,,#N/A,"""-K-CONG m@n!@",0
xxGenie,#QY8L8989C,,9,Killer_Black_Wf,0
BedwarsOP,#Q9QV9J2L8,,9,Killer_Black_Wf,0
Dream v2,#Q9PC8PJYJ,,5,Killer_Black_Wf,0
Darth Yoda,#LCVUGVYLU,,3,Killer_Black_Wf,0
Pixal™️,#PGJRLJG2C,,13,Golden Clan,0
julia,#LYQ20U2JP,,10,Golden Clan,0
COVID-19,#9R89Q2VC9,,13,Golden Clan,0
Dream Dream,#Q0P2YGQ0,,12,Golden Clan,0
Head Stomper²,#QP2G9LC0P,,10,Golden Clan,0
Silent II,#YRY8QQRGL,,10,Golden Clan,0
sd,#LJQJG8CG,,9,Golden Clan,0
Majïn Lex,#LG0LRVLPJ,,7,Golden Clan,0
Darth Grogu,#QYVPPQQYQ,,3,Golden Clan,0
tomaetuhs,#LCGRVQ92,,7,Optimus Prime*,0
VILLAGE BICYCLE,#222VPJPU,,14,Legendary Monks,0
~ʍεσϖ~,#8YU9YG2LQ,,12,Legendary Monks,0
Head Stomper³,#QY82RPGVV,,9,Legendary Monks,0
Gutti Guy 2,#Y9LCJP8LQ,,9,Legendary Monks,0
CHICKIN (2),#QLG80G890,,7,Legendary Monks,0
Gluttony,#P9R8CY0RC,,9,Legendary Monks,0
Chewi ⭐⭐⭐⭐⭐,#P08LRYVYJ,,9,Legendary Monks,0
Buckshot,#Q0JGLCRLY,,7,Legendary Monks,0
Mori,#8V09P8PPQ,,8,Legendary Monks,0
⚔️FC Warrior⚔️,#LVJ0LPCU9,,8,Legendary Monks,0
Eric,#2LPCUCLYR,,9,PETARUNG SEJATI,0
Darth Ackbar,#LU0Q9GG99,,3,PETARUNG SEJATI,0
Henny,#Y0LVUG0CG,,12,Dark Matter,0
Logan,#280QYU8Y,,14,Dark Matter,0
"Drew, And",#GL9JRQR2,,12,Dark Matter,0
aid,#CVYC8LQV,,13,Dark Matter,0
NotoriousBRFITE,#JR8UQ2GY,,14,Dark Matter,0
